country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Guyana,2700,2820,3240,3730,4210,4530,5100,5440,5450,5630,5760,5990,6140,6260,6580,6700,7130,8080,8400,8790,9390,10.1k,10.7k,11.3k,11.2k,11.4k,11.5k,12.2k,12.6k,13.2k,18.9k,22.9k,38.3k
"Hong Kong, China",17.7k,19.1k,20.6k,22.9k,24.2k,24.9k,24.9k,26.6k,25.6k,26.4k,28.4k,29.5k,29.8k,32k,35.3k,38.3k,42.7k,46.7k,49.6k,47.2k,50.2k,53.7k,53k,54.7k,55.9k,57.5k,58.7k,62.4k,65.5k,65.3k,62.5k,70.8k,74k
Honduras,1900,1830,1920,2080,2070,2180,2200,2300,2360,2330,2480,2530,2580,2660,2810,3020,3230,3500,3650,3550,3550,3660,3690,3780,4020,4410,4690,5110,5250,5390,4940,5640,6220
Croatia,,,,,,8050,8800,9530,9890,9730,10.5k,11.4k,12.6k,13.2k,14.4k,15.1k,17.2k,19.1k,20.3k,19.5k,19.4k,20.4k,20.8k,21.8k,22.1k,23.5k,24.9k,27.2k,28.9k,31.7k,30.4k,35.5k,40.6k
Haiti,2170,2240,2130,2020,1790,1980,2060,2110,2140,2190,2210,2210,2230,2310,2300,2400,2490,2630,2710,2850,2690,2860,2810,3000,3020,2950,3150,3210,3300,3260,3140,3180,3310
Hungary,,,,8220,8610,8800,8930,9230,9750,10.2k,11.2k,12.4k,13.7k,14.6k,15.3k,16k,17.3k,17.6k,19.4k,19.8k,20.7k,21.9k,22.3k,23.8k,24.5k,25.5k,27.2k,28.3k,30.7k,33.7k,33.4k,35.6k,40.5k
Indonesia,2920,3170,3400,3680,4020,4360,4720,4940,4150,4090,4370,4710,4970,5190,5490,5890,6360,6870,7370,7660,8210,8770,9370,9710,9890,9880,10.2k,10.6k,11.3k,12k,11.8k,12.7k,14.3k
India,1190,1210,1280,1350,1440,1550,1670,1740,1830,1990,2070,2180,2260,2440,2660,2920,3200,3500,3610,3870,4170,4430,4770,4950,5130,5350,5710,6050,6520,6830,6430,7220,8230
Ireland,12.8k,13.4k,13.9k,14.6k,15.8k,17.3k,18.8k,20.4k,22.5k,23.6k,26.3k,27.8k,29.5k,31.3k,33.4k,35k,38.8k,40.4k,38.2k,34.6k,36.3k,36.7k,37.5k,40.4k,43.3k,53.2k,58.3k,62k,65.7k,69.7k,70.7k,80.9k,91.1k
Iran,7590,8530,8790,8810,8770,9040,9670,9850,10k,10.2k,10.9k,11.2k,12.2k,13.4k,14.1k,14.7k,15.7k,17.2k,17.4k,17.4k,18.4k,19k,16.9k,16k,15.8k,13.8k,14.7k,15.2k,15.1k,14.7k,15.2k,16.6k,18.2k
Iraq,,2640,3490,4490,4540,4570,5000,5900,7790,8950,10.5k,10.6k,9430,6020,9210,8510,9570,10.3k,11.9k,11.9k,12.2k,12.8k,14.3k,14.4k,12.9k,9120,8840,9900,10.2k,10.7k,9250,9600,10.8k
Iceland,,,,,,23.6k,24.6k,26.5k,28.1k,29k,28.7k,30.8k,32.7k,32.4k,34.4k,35.5k,36.3k,38.8k,34k,33.6k,32.2k,34.5k,36.7k,42.1k,43.5k,46.5k,51k,53.9k,54.3k,59.5k,53.1k,55.5k,65.9k
Israel,,,,,,20.1k,21k,21.5k,22.1k,22.4k,24.2k,24.7k,25.1k,23.8k,25.3k,25.4k,26.2k,28.1k,27.5k,27.3k,28.8k,30.8k,31.6k,34k,34.5k,35.5k,37.7k,39.1k,40k,40.5k,39.7k,43.5k,49.3k
Italy,18.4k,19.3k,19.8k,20.1k,21k,22.1k,22.8k,23.8k,24.9k,25.6k,27k,27.9k,28.6k,29.1k,29.5k,30.2k,32.6k,34.2k,35.2k,34.6k,35.1k,36.5k,36.4k,36.3k,36.2k,36.6k,40k,41.8k,43.5k,46.2k,43.7k,48.2k,53.3k
Jamaica,4350,4630,4910,5720,5690,5940,6150,6100,5970,6060,6200,6340,6430,6780,7040,7270,7740,8030,8180,7730,7820,8100,8320,8500,8630,8810,9130,9700,10k,10.4k,9400,10.3k,11.7k
Jordan,4260,4110,4640,4760,4890,5140,5150,5350,5510,5650,6080,6450,6710,7000,7700,8390,8770,9170,9640,9940,9830,10k,10.2k,10.2k,9350,9130,8990,9580,9770,9940,9720,10.3k,11.1k
